,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon,id,funded_amount,loan_amount,activity,sector,use,country_code,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date,year,month,day
556,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,761628,500.0,1200.0,Agriculture,Agriculture,to buy fertilizer and to pay for labor costs to work the crops. ,SV,USD,199.0,2014-08-28 16:03:27+00:00,2014-08-26 07:00:00+00:00,,26.0,6,"#Elderly, #Supporting Family, #Job Creator, user_favorite, user_favorite",male,monthly,2014-08-28,2014,August,Thursday
2128,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1195560,300.0,300.0,Fishing,Food,to purchase fishing equipment and keep working.,SV,USD,199.0,2016-11-29 13:36:36+00:00,2016-11-15 08:00:00+00:00,2016-12-03 04:27:10+00:00,14.0,6,"user_favorite, user_favorite",male,monthly,2016-11-29,2016,November,Tuesday
140,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,671416,1000.0,1000.0,Food Production/Sales,Food,"purchase corn and wood to make tortillas, and finish paying for the deeds of some land that she had acquired.  ",SV,USD,199.0,2014-02-17 21:11:37+00:00,2014-02-17 08:00:00+00:00,2014-03-20 15:41:42+00:00,26.0,39,#Repeat Borrower,female,monthly,2014-02-17,2014,February,Monday
2184,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1200390,650.0,1100.0,Poultry,Agriculture,"to purchase concentrated feed for her chickens and, also, to purchase a wok to cook the tamales.",SV,USD,199.0,2016-12-07 20:15:02+00:00,2016-12-07 08:00:00+00:00,,26.0,21,"#Animals, #Biz Durable Asset, #Woman Owned Biz, user_favorite",female,monthly,2016-12-07,2016,December,Wednesday
2872,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1013671,100.0,100.0,Agriculture,Agriculture,"to purchase agricultural inputs such as fertilizers, liquid fertilizers and herbicides.",SV,USD,199.0,2016-01-25 21:09:05+00:00,2016-01-23 08:00:00+00:00,2016-01-28 16:19:26+00:00,11.0,3,,male,monthly,2016-01-25,2016,January,Monday
2762,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,896523,300.0,300.0,Agriculture,Agriculture,"to purchase fertilizer, pesticides, and seed",SV,USD,199.0,2015-06-03 22:28:49+00:00,2015-05-16 07:00:00+00:00,2015-06-19 15:00:32+00:00,13.0,12,"#Parent, #Woman Owned Biz, #Vegan",female,bullet,2015-06-03,2015,June,Wednesday
2580,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1301237,500.0,500.0,Land Rental,Agriculture,"to pay the rent on her cultivating land, and to buy agricultural supplies.",SV,USD,199.0,2017-05-18 15:55:24+00:00,2017-04-28 07:00:00+00:00,2017-05-23 19:16:52+00:00,15.0,17,,female,monthly,2017-05-18,2017,May,Thursday
3098,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1172530,700.0,700.0,Dairy,Agriculture,to purchase cows in order to increase the production and sale of milk.,SV,USD,199.0,2016-10-21 21:42:40+00:00,2016-10-13 07:00:00+00:00,2016-11-21 02:49:23+00:00,14.0,27,"#Animals, #Parent",male,monthly,2016-10-21,2016,October,Friday
1928,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1159169,200.0,1000.0,General Store,Retail,"to buy merchandise for his store such as bread, candy, cleaning products, personal hygiene products, drinks, etc.",SV,USD,199.0,2016-09-27 19:11:01+00:00,2016-09-23 07:00:00+00:00,,14.0,8,"#Parent, user_favorite",male,monthly,2016-09-27,2016,September,Tuesday
2364,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1250400,250.0,250.0,Food Production/Sales,Food,"to buy corn, gas, fresh cheese, loroco (a fresh herb), beans and pork rinds to sell tortillas and pupusas.",SV,USD,199.0,2017-03-03 15:31:27+00:00,2017-02-22 08:00:00+00:00,2017-03-03 18:03:32+00:00,5.0,9,"user_favorite, #Woman Owned Biz, #Repeat Borrower",female,irregular,2017-03-03,2017,March,Friday
1690,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1062346,150.0,800.0,Beverages,Food,"to buy a cart to go out and sell shaved ice. Also, he will buy the ingredients, cups, and spoons. ",SV,USD,199.0,2016-04-28 19:06:48+00:00,2016-04-18 07:00:00+00:00,,17.0,6,"#Parent, #Schooling, #Biz Durable Asset, user_favorite",male,monthly,2016-04-28,2016,April,Thursday
1586,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1034604,600.0,600.0,Food Production/Sales,Food,"to purchase corrugated sheet metal to build a stand where she can sell pupusas, a traditional Salvadoran food, and to purchase a new griddle to make them",SV,USD,199.0,2016-03-07 14:21:24+00:00,2016-02-27 08:00:00+00:00,2016-03-09 05:45:01+00:00,20.0,13,"#Elderly, #Repeat Borrower, #Woman Owned Biz",female,monthly,2016-03-07,2016,March,Monday
2093,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1187005,200.0,200.0,Farming,Agriculture,to buy pesticides to combat pests on her crops.,SV,USD,199.0,2016-11-17 19:05:18+00:00,2016-11-16 08:00:00+00:00,2016-11-23 16:44:09+00:00,12.0,7,user_favorite,female,monthly,2016-11-17,2016,November,Thursday
3298,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,1284952,1100.0,1100.0,Agriculture,Agriculture,to buy fertilizer and prepare the land for the milpa (corn field).,SV,USD,199.0,2017-04-24 19:50:44+00:00,2017-04-19 07:00:00+00:00,2017-05-09 17:37:12+00:00,14.0,25,"#Single, #Woman Owned Biz, #Sustainable Ag, #Eco-friendly",female,bullet,2017-04-24,2017,April,Monday
436,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,732727,800.0,800.0,Personal Housing Expenses,Housing,"to buy cement blocks, iron and corrugated metal roofing to repair his house.",SV,USD,199.0,2014-06-30 20:43:43+00:00,2014-06-27 07:00:00+00:00,2014-07-29 13:41:13+00:00,14.0,22,#Parent,male,monthly,2014-06-30,2014,June,Monday
1891,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1141928,1400.0,1400.0,General Store,Retail,"purchase beans, rice, coffee, sugar, bread, cooking oil, detergents, etc., to restock her small store.",SV,USD,199.0,2016-08-29 17:23:00+00:00,2016-08-16 07:00:00+00:00,2016-09-27 20:18:40+00:00,26.0,35,"volunteer_pick, #Parent, #Repeat Borrower, #Woman Owned Biz",female,monthly,2016-08-29,2016,August,Monday
