LocationName,ISO,country,region,world_region,MPI,geo,lat,lon,id,funded_amount,loan_amount,activity,sector,use,country_code,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date,year,month,day
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,670484,1300.0,1300.0,Agriculture,Agriculture,to pay for the land's rent and buy agricultural supplies.,SV,USD,333.0,2014-02-15 21:03:42+00:00,2014-01-16 08:00:00+00:00,2014-02-21 20:41:13+00:00,14.0,29,,"female, female, female",bullet,2014-02-15,2014,February,Saturday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,675795,1800.0,3000.0,Livestock,Agriculture,to buy cows.,SV,USD,333.0,2014-02-24 17:53:22+00:00,2014-02-06 08:00:00+00:00,,14.0,53,"#Animals, #Parent, #Supporting Family, user_favorite, user_favorite","male, male, male",bullet,2014-02-24,2014,February,Monday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,686887,1900.0,1900.0,Agriculture,Agriculture,to buy agricultural supplies,SV,USD,333.0,2014-03-20 22:43:26+00:00,2014-02-20 08:00:00+00:00,2014-04-24 12:40:59+00:00,14.0,31,"#Hidden Gem, #Supporting Family, user_favorite, user_favorite, user_favorite","male, male, female",bullet,2014-03-20,2014,March,Thursday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,706942,1925.0,2200.0,Agriculture,Agriculture,to buy agricultural supplies.,SV,USD,333.0,2014-05-07 14:48:20+00:00,2014-04-10 07:00:00+00:00,,14.0,54,"volunteer_pick, volunteer_like, user_favorite, user_favorite, #Schooling, #Parent","male, male, male",bullet,2014-05-07,2014,May,Wednesday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,716964,1275.0,1500.0,Farm Supplies,Agriculture,to buy agricultural supplies.,SV,USD,333.0,2014-05-27 20:54:47+00:00,2014-05-15 07:00:00+00:00,,14.0,7,"volunteer_pick, volunteer_like, #Biz Durable Asset, #Vegan, #Elderly","male, male, male",bullet,2014-05-27,2014,May,Tuesday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,718029,1250.0,1250.0,Agriculture,Agriculture,to purchase agricultural supplies.,SV,USD,333.0,2014-05-29 15:30:53+00:00,2014-05-15 07:00:00+00:00,2014-07-10 13:30:17+00:00,14.0,31,"#Schooling, #Elderly, #Vegan, user_favorite","male, male, male",bullet,2014-05-29,2014,May,Thursday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,718783,1800.0,1800.0,Agriculture,Agriculture,to purchase agricultural inputs. ,SV,USD,333.0,2014-05-31 14:50:21+00:00,2014-05-08 07:00:00+00:00,2014-07-11 04:31:53+00:00,14.0,45,"volunteer_pick, #Schooling, #Vegan, #Single Parent, user_favorite","female, female, male",bullet,2014-05-31,2014,May,Saturday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,718812,2900.0,2900.0,Agriculture,Agriculture,to purchase agricultural supplies,SV,USD,333.0,2014-05-31 17:02:10+00:00,2014-05-15 07:00:00+00:00,2014-07-10 23:34:27+00:00,14.0,85,"#Elderly, #Vegan, user_favorite","female, female, female",bullet,2014-05-31,2014,May,Saturday
"Ahuachapan, El Salvador",SLV,El Salvador,Ahuachapan,Latin America and Caribbean,0.03,"(13.8216148, -89.9253233)",13.8216148,-89.9253233,771093,1150.0,1150.0,Agriculture,Agriculture,to buy agriculture supplies,SV,USD,333.0,2014-09-18 13:47:04+00:00,2014-08-28 07:00:00+00:00,2014-10-10 15:18:41+00:00,8.0,45,"user_favorite, #Parent, #Vegan, user_favorite, user_favorite","male, male, female",bullet,2014-09-18,2014,September,Thursday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,664040,1900.0,1900.0,Agriculture,Agriculture,to buy agricultural inputs,SV,USD,333.0,2014-01-30 14:13:58+00:00,2014-01-23 08:00:00+00:00,2014-02-22 19:02:54+00:00,14.0,67,"user_favorite, #Parent","male, male, male",bullet,2014-01-30,2014,January,Thursday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,675117,2100.0,2100.0,Agriculture,Agriculture,to buy agricultural supplies,SV,USD,333.0,2014-02-22 19:47:18+00:00,2014-02-20 08:00:00+00:00,2014-03-31 21:09:47+00:00,14.0,78,"#Single Parent, #Vegan","female, female, male",bullet,2014-02-22,2014,February,Saturday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,716826,1650.0,2900.0,Agriculture,Agriculture,To purchase agricultural products.  ,SV,USD,333.0,2014-05-27 15:41:49+00:00,2014-05-02 07:00:00+00:00,,14.0,24,"#Schooling, #Single Parent, #Vegan","female, male, male",bullet,2014-05-27,2014,May,Tuesday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,718182,1200.0,1200.0,Agriculture,Agriculture,to purchase agricultural products.,SV,USD,333.0,2014-05-29 23:09:23+00:00,2014-05-15 07:00:00+00:00,2014-07-11 00:36:24+00:00,14.0,28,"#Supporting Family, #Vegan","male, male, male",bullet,2014-05-29,2014,May,Thursday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,718523,1250.0,1250.0,Farming,Agriculture,to buy farming supplies.,SV,USD,333.0,2014-05-30 14:55:53+00:00,2014-05-22 07:00:00+00:00,2014-07-11 01:32:12+00:00,14.0,34,"volunteer_pick, volunteer_like, #Schooling, #Parent, #Vegan, user_favorite","male, female, female",bullet,2014-05-30,2014,May,Friday
